epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0108,2.81824,3.0768,3.55515,0.80412,0.30552,0.30279,0.14666,2.18441,2.38817,2.97085,0.000553814,0.000553814,0.000553814
2,147.336,2.09067,2.29641,2.59837,0.90067,0.34552,0.417,0.22585,1.82165,2.38369,2.49395,0.00108751,0.00108751,0.00108751
3,215.037,1.7014,1.88698,2.23647,0.42306,0.45174,0.42633,0.25793,1.76371,1.86057,2.50656,0.00159921,0.00159921,0.00159921
4,281.161,1.5333,1.69311,2.0652,0.47404,0.50631,0.46418,0.33213,1.36615,1.40761,1.9533,0.00156798,0.00156798,0.00156798
5,347.242,1.41549,1.55114,1.95545,0.54308,0.52762,0.47765,0.35151,1.28954,1.31824,1.87922,0.00153497,0.00153497,0.00153497
6,413.487,1.36182,1.47182,1.89116,0.53692,0.52684,0.46859,0.35174,1.25636,1.30805,1.84225,0.00150197,0.00150197,0.00150197
7,480.087,1.2806,1.38695,1.82299,0.60198,0.52615,0.48321,0.36907,1.21665,1.25934,1.78613,0.00146896,0.00146896,0.00146896
8,546.722,1.22016,1.32071,1.76306,0.55369,0.51736,0.47634,0.36808,1.18663,1.2356,1.75254,0.00143595,0.00143595,0.00143595
9,613.114,1.19744,1.28547,1.75072,0.56387,0.56177,0.49434,0.38433,1.13428,1.18734,1.68278,0.00140295,0.00140295,0.00140295
10,679.25,1.15133,1.253,1.70753,0.56003,0.54387,0.48282,0.38421,1.10342,1.18826,1.66886,0.00136994,0.00136994,0.00136994
11,745.759,1.13066,1.23648,1.69613,0.58605,0.54631,0.49077,0.38954,1.06158,1.15194,1.63242,0.00133693,0.00133693,0.00133693
12,812.084,1.12817,1.22325,1.67721,0.60512,0.54318,0.48861,0.39342,1.08073,1.1388,1.6119,0.00130393,0.00130393,0.00130393
13,878.686,1.10081,1.17356,1.6401,0.57456,0.5377,0.48231,0.38722,1.07648,1.15247,1.60255,0.00127092,0.00127092,0.00127092
14,944.929,1.0783,1.15412,1.62457,0.61062,0.55004,0.49714,0.39972,1.08241,1.13744,1.60156,0.00123791,0.00123791,0.00123791
15,1008.6,1.07332,1.1507,1.61111,0.61897,0.54553,0.51122,0.40921,1.04758,1.11356,1.57428,0.00120491,0.00120491,0.00120491
16,1071.39,1.04614,1.13409,1.58828,0.60042,0.5516,0.49964,0.40882,0.99341,1.0944,1.53805,0.0011719,0.0011719,0.0011719
17,1136.81,1.03128,1.11777,1.57501,0.61955,0.53683,0.49273,0.40646,0.97623,1.09502,1.50738,0.00113889,0.00113889,0.00113889
18,1202.91,1.01702,1.10097,1.56,0.61382,0.55849,0.51292,0.42008,0.99667,1.07235,1.52471,0.00110589,0.00110589,0.00110589
19,1269.37,1.00624,1.10114,1.5567,0.61914,0.54465,0.49934,0.41478,0.9671,1.05043,1.48883,0.00107288,0.00107288,0.00107288
20,1335.38,1.01236,1.08194,1.55238,0.62108,0.56334,0.51752,0.4248,0.95627,1.03611,1.49137,0.00103987,0.00103987,0.00103987
21,1402.19,0.98487,1.05498,1.53425,0.634,0.55257,0.5225,0.43171,0.96955,1.03978,1.50083,0.00100687,0.00100687,0.00100687
22,1468.45,0.986,1.06403,1.52998,0.6484,0.55404,0.52971,0.4371,0.95404,1.03519,1.45887,0.000973861,0.000973861,0.000973861
23,1534.91,0.97137,1.03975,1.51327,0.64155,0.54691,0.51792,0.43681,0.9166,1.01766,1.43899,0.000940855,0.000940855,0.000940855
24,1604.94,0.95251,1.03412,1.50135,0.60006,0.55473,0.5133,0.42083,0.91881,1.0418,1.43324,0.000907848,0.000907848,0.000907848
25,1673.81,0.9351,1.02389,1.48811,0.64649,0.54583,0.52887,0.43777,0.92129,1.04229,1.43655,0.000874842,0.000874842,0.000874842
26,1738.62,0.94959,1.01692,1.48726,0.63234,0.56404,0.5281,0.43224,0.94102,1.00054,1.45156,0.000841835,0.000841835,0.000841835
27,1806.53,0.92853,0.99466,1.4675,0.63797,0.56187,0.53254,0.44253,0.89909,0.97287,1.39977,0.000808828,0.000808828,0.000808828
28,1873.31,0.91632,0.98515,1.46296,0.64771,0.56256,0.54378,0.44859,0.91268,0.99013,1.41735,0.000775822,0.000775822,0.000775822
29,1939.81,0.91385,0.98158,1.45687,0.65605,0.54769,0.53516,0.45097,0.90391,0.99735,1.42756,0.000742815,0.000742815,0.000742815
30,2006,0.91321,0.98357,1.45714,0.66006,0.57742,0.54456,0.44584,0.89651,0.97496,1.39672,0.000709809,0.000709809,0.000709809
31,2072.16,0.89102,0.95985,1.44158,0.65947,0.56725,0.54882,0.45724,0.88144,0.95259,1.38059,0.000676802,0.000676802,0.000676802
32,2138.49,0.89264,0.95938,1.43413,0.66198,0.57051,0.55056,0.4645,0.87867,0.94895,1.37941,0.000643795,0.000643795,0.000643795
33,2204.74,0.87891,0.94716,1.43373,0.66714,0.57257,0.55259,0.45959,0.8617,0.9347,1.36258,0.000610789,0.000610789,0.000610789
34,2270.52,0.86666,0.94173,1.4272,0.65639,0.57038,0.54437,0.45505,0.86897,0.93635,1.36824,0.000577782,0.000577782,0.000577782
35,2336.82,0.86741,0.93548,1.41792,0.65478,0.58055,0.55898,0.4665,0.8586,0.92808,1.35913,0.000544776,0.000544776,0.000544776
36,2406.68,0.86709,0.92559,1.4207,0.66847,0.58212,0.55758,0.46585,0.86212,0.935,1.36544,0.000511769,0.000511769,0.000511769
37,2473.95,0.85129,0.92501,1.41534,0.6641,0.56969,0.55484,0.4611,0.84454,0.91757,1.35481,0.000478762,0.000478762,0.000478762
38,2543.86,0.85331,0.91431,1.40929,0.67715,0.57195,0.55934,0.4651,0.83992,0.91262,1.3462,0.000445756,0.000445756,0.000445756
39,2611.85,0.84748,0.90229,1.40605,0.68055,0.57846,0.5643,0.46995,0.84426,0.90204,1.33838,0.000412749,0.000412749,0.000412749
40,2678.3,0.83946,0.90425,1.40042,0.68707,0.57508,0.56121,0.47456,0.83265,0.8873,1.33114,0.000379743,0.000379743,0.000379743
41,2774.16,0.82544,0.94637,1.4058,0.71371,0.55409,0.56475,0.47106,0.84594,0.89719,1.34966,0.000346736,0.000346736,0.000346736
42,2839.52,0.82605,0.92641,1.39783,0.69985,0.57899,0.56626,0.47317,0.83817,0.8944,1.32832,0.000313729,0.000313729,0.000313729
43,2905.3,0.805,0.90852,1.39053,0.71255,0.58055,0.57232,0.47865,0.83542,0.88265,1.33306,0.000280723,0.000280723,0.000280723
44,2970.77,0.79543,0.90613,1.37603,0.71357,0.57508,0.57466,0.47854,0.8305,0.88421,1.31836,0.000247716,0.000247716,0.000247716
45,3036.78,0.78656,0.87592,1.36443,0.7387,0.55551,0.57708,0.47772,0.8305,0.89068,1.32073,0.00021471,0.00021471,0.00021471
46,3102.66,0.77472,0.8708,1.35285,0.70931,0.57508,0.57275,0.48047,0.81824,0.87882,1.3111,0.000181703,0.000181703,0.000181703
47,3168.63,0.77194,0.86508,1.35166,0.71071,0.5829,0.58119,0.48037,0.81614,0.86056,1.30458,0.000148696,0.000148696,0.000148696
48,3234.33,0.76166,0.85094,1.34174,0.71069,0.58134,0.57743,0.48074,0.81558,0.86519,1.30804,0.00011569,0.00011569,0.00011569
49,3300.32,0.7611,0.84944,1.33877,0.73136,0.58055,0.58229,0.48584,0.81381,0.85562,1.30551,8.26832e-05,8.26832e-05,8.26832e-05
50,3366.03,0.74529,0.83578,1.33205,0.71563,0.58525,0.58343,0.48485,0.81123,0.85545,1.30356,4.96766e-05,4.96766e-05,4.96766e-05
